Name,Position,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,contact_score,power_score
lane thomas,RF,29.0,329.7,365.8,77.2,47.6,16.0,1.5,0.2827102803738318,98.3,27.4,0.18655221745350514,8.5,0.6603225806451614,0.6617452205186448,0.7272964509394572,0.6283,41.6,141.9,5.7,15.6,0.2106,0.3418,0.7306477093206951,0.2799,0.286,0.1312,0.3369,0.3423,-0.0059,0.0078,-0.0024,72.2,88.24,19.01,30.06,6.54,5.23,0.6326064016883574,99.3463857,93.81223917,63.57,0.300475866757308,27.64,43.71,-4.0,29.3,0.5136913263175482,0.6007812153642398
lourdes gurriel jr.,OF,31.0,493.1,534.3,128.2,82.9,25.1,2.0,0.42523364485981313,85.4,29.8,0.545922746781116,5.58,0.8367741935483872,0.8103350369108461,0.7995824634655533,0.7345,71.9,216.5,2.3,8.1,0.2609,0.4201,0.8343865192206424,0.317,0.3102,0.1592,0.3494,0.3494,-0.0015,0.008,-0.0001,70.46,88.31,14.88,34.9,7.09,6.19,0.7166725290186422,99.35519156,93.86016867,69.25,0.597212780421482,19.6,51.3,-0.2,26.9,0.7195341025447018,0.7217977016151376
luis arraez,2B,28.0,550.9,590.5,171.6,132.8,29.1,3.5,0.14485981308411217,23.0,27.2,0.8915593705293277,4.67,1.0,0.7768313458262351,0.9000521920668058,0.7553,50.6,185.1,2.3,6.8,0.2963,0.3846,0.8641390205371247,0.3128,0.3331,0.0883,0.3223,0.3055,0.0137,0.0258,0.0154,62.94,86.35,12.31,39.26,1.58,2.88,0.3491030601477313,94.16098037,91.12996797,63.72,0.8446634942216179,6.25,49.84,0.0,26.43,0.9172602305702309,0.5910836845553766
luis rengifo,SS,28.0,364.7,397.7,96.3,71.3,13.9,2.6,0.19859813084112152,70.6,26.0,0.49985693848354795,6.43,0.8622580645161291,0.7370812038614424,0.8361169102296452,0.7098,35.2,137.2,5.9,10.9,0.2653,0.3862,0.8196419167983149,0.3116,0.3202,0.1211,0.3449,0.3465,0.002,0.0032,-0.0003,70.01,87.97,7.26,32.36,4.87,4.82,0.6107984523390784,98.03987046,93.1369217,75.15,0.49762066621346024,23.29,53.26,0.0,27.05,0.7090080133631338,0.6288962528339672
luis robert jr.,CF,27.0,407.6,451.5,94.7,57.3,18.9,0.2,0.427570093457944,131.7,34.4,0.1662374821173105,7.88,0.7403225806451614,0.7611205754306266,0.7708768267223381,0.6975,51.0,180.9,6.1,26.4,0.244,0.4317,0.7941021590310688,0.3192,0.3095,0.1877,0.3933,0.4212,-0.0145,-0.0296,-0.0176,75.41,89.7,16.22,35.93,11.35,5.6,0.7390080900457264,101.5610058,95.03010229,75.63,0.23521414004078856,33.63,54.24,5.2,28.83,0.5336501466418697,0.6998824570392427
luis urias,3B,28.0,169.2,194.2,38.4,27.6,5.6,0.0,0.12149532710280375,31.7,17.7,0.5419170243204579,7.14,0.5622580645161291,0.5493091046753739,0.6495302713987474,0.5391,16.3,66.1,0.5,1.0,0.1818,0.2975,0.6337546076882569,0.2474,0.256,0.1157,0.2608,0.2711,-0.0075,-0.0073,-0.0067,55.19,69.23,12.96,27.89,5.36,4.51,0.45374604291241644,78.2278316,74.35922998,49.69,0.6594153636981646,13.43,35.27,0.0,20.8,0.6038029783781875,0.4699673877121333
marcell ozuna,DH,34.0,483.8,566.8,129.9,78.9,21.1,0.2,0.6939252336448599,131.3,74.6,0.3424892703862662,13.61,0.8480645161290324,0.9169032746545523,0.9540709812108559,0.85,81.2,213.4,0.0,0.3,0.2723,0.534,0.9681411269088994,0.3897,0.3755,0.2619,0.4282,0.4646,-0.0094,-0.0496,-0.022,73.9,91.14,14.49,36.68,13.97,9.72,0.8533239535701724,102.457845,95.76211143,63.81,0.35248130523453436,27.11,42.82,0.0,25.69,0.6796347643261266,0.8749631579120419
mark canha,1B,36.0,261.4,302.5,63.3,45.8,12.5,0.2,0.11214953271028039,56.6,28.6,0.45751072961373396,8.04,0.7451612903225807,0.598712852545902,0.8094989561586639,0.6265,28.0,110.1,0.7,4.3,0.2222,0.324,0.7414428646656135,0.2875,0.3096,0.1018,0.2955,0.303,0.0088,-0.0077,-0.0059,68.43,87.4,15.45,28.28,3.03,5.57,0.6166021807949349,97.88878037,93.04498083,60.25,0.4813052345343304,22.05,43.7,-0.8,27.8,0.6541612667739862,0.5477970578644977
martin maldonado,C,38.0,186.4,206.0,33.6,21.1,6.3,0.0,0.14485981308411217,71.6,12.4,0.0,5.6,0.5674193548387098,0.5718341851220897,0.590553235908142,0.5284,16.5,79.9,0.0,0.0,0.1854,0.3408,0.6134807793575566,0.2515,0.2359,0.1547,0.3302,0.3621,-0.0095,-0.0387,-0.0185,71.21,87.08,17.7,30.63,8.8,4.47,0.5756243404854027,98.44740279,93.32273769,60.58,0.1240652617267165,36.89,47.36,0.0,23.12,0.3722048295693988,0.49969132005779693
max kepler,RF,32.0,366.5,409.9,86.2,53.6,18.7,0.7,0.30841121495327106,81.7,35.6,0.4320457796852647,8.69,0.7529032258064516,0.7444633730834753,0.7985386221294363,0.6993,45.3,168.5,0.2,1.5,0.2538,0.4334,0.8004212743549235,0.3297,0.3263,0.1794,0.3388,0.3755,-0.0204,-0.0401,-0.0257,71.53,90.45,15.83,34.56,9.7,6.68,0.7627506155469573,100.6114735,94.61802669,71.03,0.5669612508497621,22.23,49.44,1.0,26.97,0.6652339604877717,0.6776977603315654
max muncy,1B,22.0,287.25,343.7,65.65,34.0,12.75,0.7,0.42523364485981313,88.2,47.75,0.25479256080114454,12.935,0.742741935483871,0.8748816960060571,0.8761743215031315,0.79795,57.15,147.55,0.65,1.75,0.23495,0.4642,0.90086887835703,0.347,0.34145,0.22955,0.4113,0.4193,-0.0047,-0.002,-0.00485,71.75,89.925,19.445,34.665,12.16,8.7,0.7666197678508618,100.8856822,94.8160636,64.4,0.30234534330387497,29.17,43.365,0.0,27.275,0.5971024579171047,0.7710958548510611
max muncy,1B,34.0,287.25,343.7,65.65,34.0,12.75,0.7,0.42523364485981313,88.2,47.75,0.25479256080114454,12.935,0.742741935483871,0.8748816960060571,0.8761743215031315,0.79795,57.15,147.55,0.65,1.75,0.23495,0.4642,0.90086887835703,0.347,0.34145,0.22955,0.4113,0.4193,-0.0047,-0.002,-0.00485,71.75,89.925,19.445,34.665,12.16,8.7,0.7666197678508618,100.8856822,94.8160636,64.4,0.30234534330387497,29.17,43.365,0.0,27.275,0.5971024579171047,0.7710958548510611
max stassi,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0
michael a. taylor,CF,34.0,265.7,294.6,55.7,30.5,14.5,1.0,0.2266355140186916,99.0,22.6,0.04005722460658101,7.8,0.675483870967742,0.7181525648305888,0.7111169102296452,0.6519,30.5,114.9,2.0,9.7,0.2106,0.396,0.7443391258557135,0.2927,0.2758,0.1859,0.3904,0.4085,-0.0012,-0.0166,-0.01,73.33,90.11,15.84,36.34,11.88,8.23,0.7523742525501231,101.5848854,95.16854741,69.41,0.08939496940856562,37.58,50.19,6.1,28.09,0.4418706731622455,0.6345494605196536
michael conforto,LF,32.0,378.1,432.4,82.1,47.8,19.9,0.9,0.31542056074766356,103.1,44.7,0.31673819742489284,10.44,0.6900000000000001,0.709445390876396,0.8063674321503131,0.6838,44.9,169.2,0.3,1.3,0.2476,0.4364,0.798051606108478,0.3395,0.3394,0.1893,0.341,0.3999,-0.0337,-0.0616,-0.0364,73.68,89.89,14.07,33.64,9.72,7.77,0.7616953921913472,100.797877,94.72835291,66.12,0.39904826648538405,25.34,44.9,-4.1,26.16,0.5920675224271493,0.6676722896832643
miguel andujar,3B,30.0,237.9,253.2,71.0,51.6,12.1,0.8,0.1518691588785047,34.7,12.6,0.6040057224606581,5.27,0.9435483870967742,0.8438387279954571,0.8650835073068894,0.7773,30.6,84.9,0.6,1.8,0.2605,0.381,0.8841495523959978,0.3001,0.3031,0.1207,0.3688,0.3243,0.032,0.0648,0.0357,71.64,87.42,9.32,29.52,4.91,5.12,0.6370031656700668,98.64198965,93.42641456,68.61,0.7029231815091774,17.77,51.39,-3.8,27.07,0.8039753491150662,0.6761709490271508
miguel rojas,SS,36.0,265.6,291.7,68.3,48.3,14.0,0.2,0.1355140186915888,35.3,20.6,0.6397711015736767,7.26,0.827741935483871,0.7228847245883021,0.8196764091858038,0.696,24.0,117.1,1.2,5.0,0.2573,0.3546,0.8051606108478147,0.2978,0.3156,0.0975,0.3164,0.3063,-0.0007,0.0273,0.008,68.38,86.71,12.11,34.04,3.48,2.38,0.5001758705592684,96.74717148,92.41335155,65.71,0.7025832766825288,16.32,46.67,0.0,25.92,0.7626963790521435,0.5855515784810065
mike yastrzemski,CF,34.0,378.9,433.9,87.6,50.9,18.4,3.4,0.3481308411214954,104.5,48.4,0.3115879828326181,11.26,0.7448387096774194,0.7857278061707363,0.8405532359081419,0.7372,43.2,163.9,2.0,4.3,0.2266,0.3979,0.8433385992627698,0.3133,0.3189,0.1713,0.3756,0.3649,0.0043,0.0172,0.007,70.99,90.32,19.3,33.55,9.41,8.0,0.7333802321491383,99.92993871,94.35783422,62.46,0.4089055064581917,22.85,42.37,-0.1,27.01,0.6197162815338303,0.7050221362841786
mitch garver,C,34.0,271.3,313.8,56.9,34.8,9.8,0.0,0.2873831775700935,92.3,37.2,0.15507868383404866,11.65,0.6890322580645162,0.7217490062464509,0.8162839248434238,0.6941,38.3,129.5,0.0,1.5,0.208,0.3866,0.8072669826224328,0.307,0.3094,0.1786,0.3781,0.3802,0.0056,-0.0053,-0.0004,71.32,90.82,18.69,32.25,9.54,7.49,0.7743580724586704,100.5563806,94.72562635,59.41,0.27974167233174707,30.38,40.23,0.0,25.84,0.538558926105541,0.6710530466664179
orlando arcia,SS,30.0,341.9,369.7,76.8,52.6,13.7,0.5,0.23364485981308414,76.8,23.6,0.395994277539342,5.6,0.687741935483871,0.6231307968957032,0.671972860125261,0.5867,31.3,153.0,0.0,0.8,0.2162,0.3255,0.6769352290679305,0.2592,0.2621,0.1098,0.2974,0.3001,-0.003,0.0037,-0.0021,70.54,87.15,7.06,28.19,4.22,4.92,0.6104467112205417,98.01434057,93.05872263,69.97,0.4255608429639701,24.54,50.82,0.0,25.51,0.572225462783402,0.5588381219958153
ozzie albies,2B,28.0,479.9,530.5,118.9,79.3,23.2,1.8,0.34112149532710284,82.9,40.8,0.5547925608011446,7.66,0.7945161290322581,0.7378383494226765,0.8066283924843424,0.6989,61.7,200.2,1.0,10.5,0.246,0.381,0.8035808320168509,0.3041,0.3103,0.1347,0.3242,0.3224,0.0003,0.0088,0.0011,69.13,87.91,18.19,34.6,5.25,5.76,0.5689412592332044,97.16973878,92.66292213,79.09,0.4881033310673011,20.97,54.85,0.0,27.23,0.6889225348286693,0.6444383053439197
paul dejong,3B,31.0,272.9,295.1,62.2,38.0,11.2,0.0,0.3037383177570094,91.5,15.6,0.13218884120171692,5.7,0.7629032258064516,0.7989778534923339,0.7486951983298539,0.709,33.9,125.4,1.4,3.4,0.2187,0.3907,0.8051606108478147,0.2894,0.2722,0.172,0.4108,0.3849,0.0178,0.0314,0.0164,71.53,88.29,21.56,36.23,9.4,8.65,0.7164966584593739,99.67584812,94.00643375,76.89,0.2311352821210061,32.6,56.24,0.0,26.6,0.5261443519054363,0.6852885345453212
paul goldschmidt,1B,37.0,502.3,556.1,132.9,85.4,30.1,0.8,0.3878504672897197,126.1,47.0,0.36824034334763966,8.2,0.8600000000000001,0.807495741056218,0.8603862212943633,0.7563,56.0,209.5,0.9,8.0,0.267,0.4695,0.859662980516061,0.3421,0.3305,0.202,0.3905,0.4139,-0.0004,-0.0429,-0.0156,72.52,90.77,14.49,35.86,10.06,8.07,0.8167428772423496,101.382414,95.18978853,65.54,0.3331067301155676,24.02,47.41,0.0,26.32,0.6563852810809504,0.7410662853780976
pete alonso,1B,30.0,531.5,611.1,130.9,67.6,29.0,0.9,0.780373831775701,143.8,59.5,0.32932761087267526,9.71,0.7996774193548388,0.9379140639788,0.8789144050104384,0.8323,100.0,250.7,1.2,2.2,0.2653,0.5387,0.9325961032122169,0.3775,0.3527,0.2734,0.4221,0.4579,-0.0174,-0.0432,-0.0233,75.55,91.44,15.81,35.36,16.5,7.06,0.8457615195216321,103.7841927,96.41976572,63.78,0.3946295037389531,26.05,44.91,0.0,25.78,0.6483689702319088,0.8863801204167716
ramon laureano,RF,30.0,319.5,353.5,85.9,50.8,18.4,2.1,0.34112149532710284,94.6,24.6,0.22975679542203153,6.86,0.8693548387096776,0.9044103728941889,0.869258872651357,0.8109,45.9,146.4,2.6,7.3,0.2594,0.4743,0.9183780937335438,0.3442,0.3248,0.2151,0.4454,0.4386,0.0101,0.0035,0.0046,72.13,89.25,13.52,37.95,12.37,5.82,0.766268026732325,100.8037215,94.71279356,68.76,0.33140720598232487,28.59,48.5,-5.4,27.92,0.6338169136891816,0.7683144444002054
randal grichuk,RF,33.0,271.5,295.9,71.9,38.4,21.2,1.5,0.25233644859813087,57.5,19.3,0.44406294706723903,6.6,0.8474193548387097,0.8966496308915389,0.8209812108559499,0.7883,35.1,118.7,0.9,0.4,0.275,0.4864,0.883359662980516,0.3508,0.3292,0.2117,0.3897,0.4107,-0.0123,-0.0127,-0.0153,73.91,91.3,16.79,35.44,11.47,6.94,0.86334857544847,102.9578768,95.96245015,65.43,0.6312032630863358,21.31,48.21,-3.0,27.23,0.7155734117391128,0.7571397929709367
rhys hoskins,DH,32.0,269.2,314.1,61.3,36.8,10.2,0.5,0.3224299065420561,87.2,34.9,0.37081545064377697,9.04,0.5974193548387098,0.6430058678780995,0.6808455114822548,0.6006,45.6,133.9,0.5,1.9,0.1776,0.3206,0.6843075302790943,0.2543,0.257,0.1435,0.3194,0.3096,0.0076,0.0191,0.0056,56.91,71.86,17.24,28.91,9.06,5.01,0.6341892367217727,79.95974022,75.42672158,48.24,0.43201903467029223,21.49,33.14,0.0,19.99,0.5440463569591033,0.5895178480999239
rob refsnyder,RF,34.0,190.0,219.2,51.6,33.5,11.1,0.5,0.1518691588785047,53.3,24.0,0.2981402002861231,11.2,0.8725806451612904,0.8332386901381791,0.9373695198329854,0.7994,28.6,84.4,1.0,3.5,0.2563,0.4259,0.9167983149025802,0.3372,0.3475,0.1696,0.4189,0.4018,0.0142,0.0143,0.011,73.07,90.32,11.74,36.29,9.32,6.88,0.7924727400633134,101.3119944,95.07567907,63.24,0.3082936777702243,26.7,42.68,-1.7,26.91,0.6642718251095523,0.7138794813005915
ryan o'hearn,DH,31.0,377.1,425.8,103.6,68.0,19.2,1.6,0.3457943925233645,74.6,40.8,0.48898426323319033,9.51,0.888709677419355,0.8595494983910658,0.9123173277661796,0.8037,54.7,165.0,1.0,3.4,0.2787,0.4651,0.911795681937862,0.3526,0.3534,0.1859,0.386,0.3946,-0.0032,-0.011,-0.0063,72.11,90.41,11.65,36.87,8.39,8.45,0.8051354203306367,100.4221617,94.62804747,67.78,0.579537729435758,21.39,47.25,0.0,27.73,0.75401250008945,0.7615895166694786
salvador perez,C,35.0,516.1,559.1,131.9,81.1,27.1,0.0,0.5537383177570094,115.7,27.5,0.40772532188841215,4.77,0.8203225806451614,0.8436494416051485,0.7865344467640919,0.7471,82.2,212.9,0.0,0.0,0.2772,0.5246,0.8370194839389152,0.3575,0.3239,0.2477,0.3796,0.4335,-0.0229,-0.0789,-0.0396,73.1,90.55,18.17,37.27,13.12,7.47,0.8070699964825888,102.0110337,95.33409884,76.49,0.38035350101971444,28.03,58.53,0.0,24.51,0.6396728728044012,0.7763623405111387
starling marte,RF,36.0,265.5,295.7,71.1,53.1,10.8,1.1,0.14252336448598132,58.6,19.8,0.4446351931330472,6.78,0.8703225806451613,0.7423812227900815,0.8736951983298539,0.727,29.1,105.2,2.1,12.1,0.2708,0.4114,0.8412322274881516,0.3315,0.3395,0.1406,0.3589,0.3755,-0.001,-0.0192,-0.012,72.04,88.53,7.75,32.2,6.79,6.61,0.717903622933521,100.7227172,94.56949262,68.96,0.4289598912304554,26.38,51.12,-3.4,26.9,0.6979243505652051,0.6471694325673704
taylor walls,SS,28.0,267.0,303.9,55.2,38.6,10.9,1.8,0.09112149532710281,73.5,31.1,0.3044349070100144,10.31,0.6616129032258066,0.5688056028771531,0.7453027139874739,0.5861,30.4,118.4,4.4,16.2,0.2017,0.2907,0.693522906793049,0.2614,0.2843,0.089,0.2936,0.29,0.0034,0.0098,0.002,68.45,86.67,16.83,32.14,3.22,5.2,0.4600773830460781,95.75101422,91.89716632,66.16,0.4051665533650578,23.09,45.08,0.0,28.08,0.5639949772389986,0.48893832857569675
thairo estrada,2B,29.0,285.2,302.8,70.0,47.8,14.2,1.0,0.1635514018691589,59.8,10.4,0.4738197424892704,3.42,0.7929032258064517,0.7024417944349801,0.7296450939457203,0.6507,34.4,131.2,3.5,5.7,0.2359,0.3401,0.7424960505529224,0.2703,0.2728,0.1042,0.3246,0.3087,0.0099,0.031,0.0117,71.26,86.19,8.81,30.13,3.95,4.81,0.5539922616953922,97.40610375,92.75508249,70.21,0.6274643099932018,21.85,52.73,0.0,27.92,0.6770213064221461,0.5769900862092809
tom murphy,C,0.0,39.2,43.2,9.6,5.0,2.7,0.0,0.044392523364485986,13.0,3.2,0.5256080114449214,4.41,0.3012903225806452,0.3371190611395041,0.3400313152400835,0.3084,4.0,16.0,0.0,0.0,0.0975,0.1947,0.35597682991047913,0.1452,0.135,0.0972,0.1737,0.1939,-0.0041,-0.0166,-0.01,36.22,44.12,4.09,18.66,5.92,5.48,0.34189236721772776,50.31757144,47.25449413,32.26,0.6152277362338545,17.15,23.26,0.0,13.03,0.42056364088197384,0.2851857454314377
tommy pham,RF,37.0,365.2,407.6,93.0,64.7,17.4,2.0,0.20794392523364488,90.5,36.9,0.36452074391988565,9.2,0.8245161290322581,0.7261025932235472,0.8444676409185804,0.7072,42.3,128.2,2.0,9.0,0.2662,0.4181,0.8149025803054238,0.3294,0.3356,0.1519,0.3588,0.3875,-0.0106,-0.0345,-0.0199,73.24,91.63,8.19,32.89,7.4,7.31,0.818325712275765,102.0113505,95.49471956,60.01,0.4707681849082257,23.57,41.3,-1.3,27.42,0.6677529167508738,0.6675554795605733
tomás nido,C,31.0,70.625,75.625,16.875,13.875,1.5,0.0,0.03504672897196262,19.375,1.875,0.2489270386266096,1.35,0.9237903225806452,0.629377247775885,0.8031054279749479,0.64025,5.75,32.25,0.0,0.0,0.246375,0.360625,0.7464454976303316,0.2745,0.270375,0.11425,0.374125,0.361125,0.04,-0.028125,0.009,69.675,87.675,11.7875,37.5625,4.5,6.875,0.6705065072106929,98.44848215,93.49733509,80.5375,0.3214649898028552,29.525,59.4375,0.0,24.95,0.6321471308525709,0.5538574708583961
trent grisham,CF,28.0,331.5,388.2,73.8,44.2,13.1,0.7,0.36915887850467294,92.9,50.6,0.3067238912732476,12.6,0.7067741935483871,0.7739920499716071,0.8481210855949896,0.7339,42.3,130.5,1.9,3.8,0.2372,0.4501,0.8499210110584516,0.3451,0.3412,0.2132,0.3679,0.4028,-0.0181,-0.0412,-0.0223,70.77,90.54,17.26,31.64,12.98,7.41,0.782975729862821,100.7182747,94.84063562,58.83,0.42692046227056424,22.8,39.23,1.5,27.01,0.6131974544517753,0.7176008399825163
trevor story,SS,32.0,297.3,318.9,75.1,50.0,14.4,0.0,0.25,92.4,17.6,0.14248927038626624,6.65,0.7954838709677421,0.7437062275222412,0.7907098121085595,0.6959,45.3,130.1,1.5,14.8,0.2229,0.3623,0.7969984202211691,0.2827,0.2826,0.1394,0.404,0.3713,0.0237,0.0306,0.02,70.26,89.08,16.28,36.0,8.72,5.95,0.7115722827998593,100.0371271,94.26992731,70.87,0.340924541128484,30.18,52.85,0.0,28.44,0.5725408672258405,0.654525850882995
ty france,1B,30.0,457.6,510.5,114.0,79.1,25.6,0.0,0.21728971962616828,93.1,30.0,0.4818311874105866,5.73,0.8070967741935484,0.6922203293583192,0.8413361169102297,0.6881,49.9,192.5,0.3,1.0,0.2574,0.4226,0.806477093206951,0.3303,0.3301,0.1654,0.3294,0.3623,-0.0072,-0.0569,-0.024,71.11,88.86,12.06,34.48,7.55,6.43,0.724938445304256,100.0281575,94.26308857,74.26,0.5683208701563562,22.19,51.95,0.0,25.03,0.704560278844522,0.6380548597556659
tyler o'neill,LF,30.0,242.4,277.1,55.7,28.9,11.2,0.5,0.352803738317757,81.1,29.0,0.2183118741058656,10.01,0.720967741935484,0.8534923339011926,0.8081941544885177,0.7606,34.0,104.6,0.0,3.2,0.2416,0.532,0.8572933122696155,0.3625,0.3266,0.2904,0.4108,0.4657,-0.0181,-0.0811,-0.0369,74.06,89.81,21.31,34.12,17.1,6.38,0.7500879352796341,101.6481962,95.10671823,67.4,0.21244051665533648,31.69,47.01,-2.7,28.05,0.5448990470794409,0.7338140285707205
tyler wade,SS,30.0,105.1,121.3,22.6,19.8,1.6,1.2,0.0,26.8,11.6,0.35622317596566533,9.49,0.7067741935483871,0.49309104675373844,0.7875782881002088,0.5623,7.3,46.1,1.3,3.7,0.2097,0.2619,0.6837809373354397,0.2575,0.2936,0.0524,0.2812,0.2757,0.0094,-0.0014,0.0022,52.36,83.47,10.22,30.0,0.54,3.23,0.3086528315160042,93.45668837,90.90958357,60.1,0.49218218898708366,24.25,43.91,-1.0,28.44,0.6179868174851285,0.41479216152995424
victor caratini,C,31.0,256.2,285.9,66.7,48.4,9.2,0.3,0.20560747663551407,52.4,19.7,0.4715307582260373,7.05,0.8403225806451614,0.7590384251372327,0.8447286012526096,0.7247,32.5,109.9,0.5,0.7,0.2577,0.4014,0.8335966298051605,0.3206,0.325,0.144,0.3504,0.3559,0.0028,-0.0004,-0.004,72.09,89.87,11.6,32.68,6.53,6.87,0.7328526204713331,100.3215189,94.51364887,67.56,0.4796057104010877,21.41,46.62,0.0,24.42,0.6957426482947563,0.6654825359040875
willi castro,SS,28.0,410.0,464.3,99.8,64.5,20.4,4.0,0.25467289719626174,111.3,38.1,0.31273247496423473,8.21,0.7822580645161291,0.7452205186447095,0.8483820459290188,0.7188,38.3,162.3,5.2,15.3,0.2434,0.382,0.8333333333333333,0.3147,0.3268,0.1388,0.37,0.3673,-0.0009,0.0117,0.0018,71.38,87.32,13.3,36.8,7.06,6.58,0.661273302849103,99.35858209,93.72113599,71.71,0.37525492861998644,27.98,52.44,-1.4,28.19,0.6267895138503885,0.6567553956024859
william contreras,C,27.0,513.0,590.4,140.3,93.0,29.7,0.8,0.39252336448598135,114.4,71.0,0.44864091559370534,12.11,0.877741935483871,0.8114707552526974,0.9457202505219207,0.7911,73.7,209.7,2.3,6.9,0.2597,0.4244,0.909952606635071,0.3409,0.3539,0.1649,0.3818,0.3751,0.0124,0.0043,0.0047,73.82,91.55,6.07,29.72,7.78,8.83,0.8527963418923672,103.0986844,96.13241326,67.37,0.37151597552685256,26.09,45.91,0.0,26.27,0.7110700340258491,0.7654909498420003
wilmer flores,1B,33.0,323.2,361.4,80.7,55.9,12.5,0.0,0.2873831775700935,59.0,29.7,0.5404864091559372,8.19,0.7858064516129033,0.737649063032368,0.8170668058455115,0.7028,51.3,155.7,0.0,0.5,0.229,0.3516,0.8088467614533964,0.2921,0.3038,0.1231,0.3253,0.304,0.0146,0.0381,0.0151,66.1,84.88,19.72,35.52,5.43,4.86,0.4815335912768202,95.93448679,91.98658429,62.12,0.6216859279401767,17.13,45.3,0.0,24.33,0.7132964446567471,0.6177321011151121
yoan moncada,3B,30.0,164.8,183.9,40.7,24.6,8.9,1.0,0.14485981308411217,50.7,16.0,0.24263233190271827,9.75,0.8096774193548387,0.7950028392958546,0.865866388308977,0.7518,21.5,71.8,0.0,0.5,0.2436,0.401,0.8659820958399157,0.321,0.3267,0.1576,0.4038,0.3919,0.0074,0.019,0.0079,72.29,90.59,12.29,37.62,7.82,8.45,0.726345409778403,100.1585404,94.49791823,66.41,0.3864717878993882,29.11,46.15,0.0,26.37,0.628483966259566,0.6725365251132341
